Startsek,Stopsek,Antal steg,Stegfrekvens,Stdv stegfrekvens,Medelhöjd,Stdv steghöjd,Maxhöjd,Minhöjd,Steglängd,Stdv steglängd,Kommentar
0,0,0,0,0,0,0,0,0,0,0,
Startsek,Stopsek,Antal steg,Stegfrekvens,Stdv stegfrekvens,Medelhöjd,Stdv steghöjd,Maxhöjd,Minhöjd,Steglängd,Stdv steglängd,Kommentar
0,0,0,0,0,0,0,0,0,0,0,
Startsek,Stopsek,Antal steg,Stegfrekvens,Stdv stegfrekvens,Medelhöjd,Stdv steghöjd,Maxhöjd,Minhöjd,Steglängd,Stdv steglängd,Kommentar
0,0,0,0,0,0,0,0,0,0,0,klk
Startsek,Stopsek,Antal steg,Stegfrekvens,Stdv stegfrekvens,Medelhöjd,Stdv steghöjd,Maxhöjd,Minhöjd,Steglängd,Stdv steglängd,Kommentar
0,0,0,0,0,0,0,0,0,0,0,klk
Startsek,Stopsek,Antal steg,Stegfrekvens,Stdv stegfrekvens,Medelhöjd,Stdv steghöjd,Maxhöjd,Minhöjd,Steglängd,Stdv steglängd,Kommentar
0,0,0,0,0,0,0,0,0,0,0,en till
Startsek,Stopsek,Antal steg,Stegfrekvens,Stdv stegfrekvens,Medelhöjd,Stdv steghöjd,Maxhöjd,Minhöjd,Steglängd,Stdv steglängd,Kommentar
0,0,0,0,0,0,0,0,0,0,0,en till till
Startsek,Stopsek,Antal steg,Stegfrekvens,Stdv stegfrekvens,Medelhöjd,Stdv steghöjd,Maxhöjd,Minhöjd,Steglängd,Stdv steglängd,Kommentar
0,0,0,0,0,0,0,0,0,0,0,
Startsek,Stopsek,Antal steg,Stegfrekvens,Stdv stegfrekvens,Medelhöjd,Stdv steghöjd,Maxhöjd,Minhöjd,Steglängd,Stdv steglängd,Kommentar
0,0,0,0,0,0,0,0,0,0,0,
Startsek,Stopsek,Antal steg,Stegfrekvens,Stdv stegfrekvens,Medelhöjd,Stdv steghöjd,Maxhöjd,Minhöjd,Steglängd,Stdv steglängd,Kommentar
0,0,0,0,0,0,0,0,0,0,0,ugh
